Julien Baker,Funeral Pyre / Distant Solar Systems
King Woman,Created in the Image of Suffering
Lingua Ignota,SINNER GET READY
Flans,Luz Y Sombra
Björk,Fossora
Nirvana,MTV Unplugged in New York
Cross Record,Cross record
Black Dresses,Peaceful as Hell
Good Morning,Shawcross
Good Morning,Glory
Sparklehorse,It Will Never Stop
Anamanaguchi,[USA]
Gotye,Making Mirrors
BLACKSTARKIDS,Cyberkiss*
Hepcat,Right on Time
Hepcat,Out of Nowhere
Big Thief,Masterpiece
Thom Yorke,ANIMA
Rammstein,Rosenrot
Phoebe Bridgers,Kyoto (Glitch Gum Remix)
JPEGMAFIA,CALL ME MAYBE
Fiona Apple,Fetch the Bolt Cutters
Backxwash,HIS HAPPINESS SHALL COME FIRST EVEN THOUGH WE ARE SUFFERING
Natalia Lafourcade,Un Canto por México Vol. II
Special Interest,Endure
TOPS,Picture You Staring
Djo,DECIDE
The Blue Nile,Hats
ROSALÍA,MOTOMAMI
Lana Del Rey,Norman Fucking Rockwell!
Frou Frou,Details (20th Anniversary Edition)
System of a Down,System of a Down
AJJ,The Bible 2
Manu Chao,Próxima Estación: Esperanza
Field Mouse,Episodic
Peak Divide,UNBEATABLE: DEMO TAPES
Caroline Polachek,Welcome to My Island
Cigarettes After Sex,Cry
Cigarettes After Sex,Neon Moon
Cigarettes After Sex,Affection
Cigarettes After Sex,You're All I Want
Daniele Luppi,Charm of Pleasure
Snow Patrol,Greatest Hits
Gotye,Learnalilgivinanlovin
Gotye,Boardface
Ben Babbitt,Kentucky Route Zero- Memory Overflow
Natalia Lafourcade,Hasta la Raíz (Edición Especial)
Slayyyter,Slayyyter
Sparklehorse,Good Morning Spider
Milk & Bone,DIVE
Jim Williams,Titane (Original Motion Picture Soundtrack)
Steven Price,Last Night In Soho (Original Motion Picture Score)
Nicholas Britell,Andor: Vol. 1 (Episodes 1-4) [Original Score]
Luis Miguel,Soy Como Quiero Ser
Bikini Kill,The Singles
Big Thief,Capacity
Varsovia,Diseñar y Destruir
Varsovia,Recursos Inhumanos
tricot,T H E
Grimes,Visions
Prurient,Creationist
Los Cojolites,No Tiene Fin
tricot,エンドロールに間に合うように
tricot,アクアリウム
tricot,#アチョイ
Algiers,Irreversible Damage
JPEGMAFIA,LP!
Stormzy,This Is What I Mean
Jimmy Eat World,Bleed American
Julee Cruise,Floating Into the Night
Common Holly,When I say to you Black Lightning
Playboi Carti,Whole Lotta Red
Open Mike Eagle,Component System with the Auto Reverse
MGMT,11•11•11
BROCKHAMPTON,THE FAMILY
Natalia Lafourcade,De todas las flores
Blur,Parklife (Special Edition)
Simon & Garfunkel,Bridge Over Troubled Water
Simon & Garfunkel,Parsley Sage Rosemary And Thyme
Alabama Shakes,Sound & Color (Deluxe Edition)
Magdalena Bay,A Little Rhythm and a Wicked Feeling
Magdalena Bay,Mini Mix Vol. 1
Benjamin Clementine,At Least For Now (Deluxe)
Phoebe Bridgers,Have Yourself a Merry Little Christmas
Sparklehorse,Dreamt For Light Years In The Belly Of A Mountain
Phoebe Bridgers,Christmas Song
Phoebe Bridgers,7 O'Clock News / Silent Night
Phoebe Bridgers,If We Make It Through December
In Love With a Ghost,healing
Bob Dylan,Blonde on Blonde
Benjamin Clementine,And I Have Been
Savages,Words to the Blind
Kero Kero Bonito,Civilisation II
Kero Kero Bonito,Civilisation I
Hatchie,Sugar & Spice
IDLES,CRAWLER
Florence + the Machine,Heaven Is Here (IDLES Remix)
Jerry Goldsmith,Alien
Jerry Goldsmith,Gremlins (Original Motion Picture Soundtrack)
Jonathan Eng,Year Walk
Jason Graves,Dead Space (Original Soundtrack)
Xiu Xiu,Plays the Music of Twin Peaks
Boy Harsher,Careful
Boy Harsher,Lesser Man EP
Ólafur Arnalds,Eulogy for Evolution 2017 (Remastered 10th Anniversary Edition)
Fever Ray,What They Call Us
The Knife,Shaking the Habitual
100 gecs,1000 gecs and The Tree of Clues
Kero Kero Bonito,Intro Bonito
Xiu Xiu,Girl with Basket of Fruit
Arctic Monkeys,Whatever People Say I Am That's What I'm Not
The Last Shadow Puppets,The Age of the Understatement
Britney Spears,In the Zone
Lucy Dacus,Kissing Lessons
Beach House,Thank Your Lucky Stars
Paramore,After Laughter
Kero Kero Bonito,Civilisation
The Knife,Silent Shout
Franz Ferdinand,Franz Ferdinand
Carly Rae Jepsen,Kiss (Deluxe)
Vince Staples,Big Fish Theory
Gorillaz,Song Machine Season One: Strange Timez (Deluxe)
Denzel Curry,TA13OO
Kid Metropolis,Future Future
The Northern Boys,Party Time
Jeff Rosenstock,NO DREAM
Hatchie,Giving the World Away
Charli XCX,Pop 2
Pinegrove,11:11
Denzel Curry,Melt My Eyez See Your Future
St. Vincent,St. Vincent (Deluxe Edition)
Tengger Cavalry,Cavalry in Thousands
Deafheaven,Sunbather
Venom,Welcome To Hell
Hatchie,Keepsake
The Last Shadow Puppets,The Dream Synopsis
Manchester Orchestra,No Rule
Kevin Devine,Liar Liar
